5_x,5_y,6_x,6_y,17_x,17_y
0.6729528307914734, 0.5943639874458313, 0.24575254321098328, 0.6380659937858582, 0.46231788396835327, 0.6011780500411987
0.6716402769088745, 0.5949262380599976, 0.24383756518363953, 0.6336376070976257, 0.46106380224227905, 0.5987170934677124
0.6722480058670044, 0.5950183272361755, 0.23992599546909332, 0.622442901134491, 0.45446059107780457, 0.599494457244873
0.6818809509277344, 0.5938218235969543, 0.23548142611980438, 0.623016893863678, 0.45496803522109985, 0.6009599566459656
0.6815150380134583, 0.5932013392448425, 0.2265377789735794, 0.6204261183738708, 0.45125001668930054, 0.6013879776000977
0.6893829703330994, 0.5966324806213379, 0.22259224951267242, 0.611073911190033, 0.45339903235435486, 0.5963166356086731
0.69781893491745, 0.6021637320518494, 0.22738178074359894, 0.6019071340560913, 0.46116724610328674, 0.594497561454773
0.7020829916000366, 0.6042945981025696, 0.23042771220207214, 0.5981246829032898, 0.46490541100502014, 0.5960325002670288
0.704229474067688, 0.6038166284561157, 0.22832904756069183, 0.6010380983352661, 0.4669437110424042, 0.5985673666000366
0.7095630764961243, 0.6135491728782654, 0.23507140576839447, 0.6029863953590393, 0.4756968319416046, 0.6056894063949585
0.7162383794784546, 0.6112646460533142, 0.23877453804016113, 0.5949848294258118, 0.4749455451965332, 0.5972504019737244
0.7192509770393372, 0.6162861585617065, 0.23788784444332123, 0.6024138331413269, 0.4795016944408417, 0.6045914888381958
0.7199769020080566, 0.6166685819625854, 0.2391567975282669, 0.6012078523635864, 0.4803697466850281, 0.6034375429153442
0.7150768637657166, 0.6121442914009094, 0.23799411952495575, 0.6038996577262878, 0.47374576330184937, 0.6031621098518372
0.7156564593315125, 0.6151567697525024, 0.23792506754398346, 0.6113811731338501, 0.47786253690719604, 0.611699640750885
0.7080535888671875, 0.6144997477531433, 0.23746392130851746, 0.6035919785499573, 0.4737304747104645, 0.6042243838310242
